Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,38.0,2899.952591452935,76.31454188013956,38.0
21,1.0,4350.0,70.0,33.0,4349.95413233731,131.81679188860994,9.306117773819485
21,2.0,3000.0,90.0,31.0,2999.954082850171,96.77271234969335,26.81272076964755
21,3.0,2400.0,110.0,16.0,2399.9323777810987,149.9957736103812,8.60492934138885
21,4.0,4800.0,60.0,63.0,4799.922848995411,76.18925157123479,39.071099729342016
21,5.0,2000.0,130.0,28.0,1999.902367919267,71.42508456829016,28.0
21,6.0,2050.0,120.0,24.0,2049.9344344739525,85.41393476939213,24.0
21,7.0,3500.0,80.0,48.0,3499.912491431218,72.9148435713318,48.0
21,8.0,4600.0,70.0,38.0,4599.934981222485,121.05092055816787,12.707013276766011
21,9.0,2000.0,130.0,29.0,1999.9613918008001,68.96418592392772,29.0
21,10.0,2800.0,100.0,31.0,2799.9154813828927,90.31985423786648,31.0
21,11.0,2350.0,110.0,15.0,2349.9589543244692,156.66393028725352,7.395007078935422
21,12.0,2050.0,120.0,24.0,2049.910863964348,85.4129526648253,24.0
21,13.0,2900.0,90.0,37.0,2899.960945092298,78.37732284012054,37.0
21,14.0,4750.0,60.0,52.0,4749.9554980417615,91.34529803908897,22.4353810495786
21,15.0,3450.0,80.0,29.0,3449.7740280239163,118.95772510386278,13.115736145675426
21,16.0,2000.0,130.0,25.0,1999.9797278558942,79.99918911391578,25.0
21,17.0,3500.0,80.0,57.0,3499.9994568631105,61.40349924310474,57.0
21,18.0,2200.0,110.0,23.0,2199.9210032315523,95.6487392705212,23.0
21,19.0,2700.0,100.0,34.0,2699.9627079816055,79.41066788157836,34.0
21,20.0,3100.0,90.0,16.0,3099.990445869878,193.74940286565646,3.4524250266968326
21,21.0,2100.0,120.0,46.0,2099.9641654266525,45.651394900480156,46.0
21,22.0,4850.0,60.0,32.0,4849.9434156851585,151.56073173968755,5.015094169773571
21,23.0,4100.0,70.0,38.0,4099.9254399634565,107.8927747355965,15.995394370787828
21,24.0,2000.0,120.0,22.0,1999.9544802026749,90.90702182698111,22.0
21,25.0,4800.0,60.0,44.0,4799.9728198297935,109.0902913595201,13.310150738010377
21,26.0,3050.0,90.0,29.0,3049.9478081995853,105.17061407548512,21.23705038242371
21,27.0,4250.0,70.0,30.0,4249.927132434996,141.66423774736097,7.324818644497823
21,28.0,2850.0,100.0,44.0,2849.9463646629147,64.7715082876463,44.0
21,29.0,2250.0,110.0,34.0,2249.915042678134,66.17397184327989,34.0
21,30.0,2000.0,130.0,11.0,1999.9996363729547,181.8181487595248,5.623477044944217
21,31.0,3900.0,80.0,51.0,3899.924639645361,76.46911058113164,51.0
21,32.0,2000.0,120.0,35.0,1999.9592032023454,57.141691519903745,35.0
21,33.0,3250.0,90.0,54.0,3249.922416255595,60.183748449066236,54.0
21,34.0,4450.0,70.0,35.0,4449.984930848776,127.14242659531602,10.609212112494584
21,35.0,3550.0,80.0,61.0,3549.9551398808785,58.19598589959113,61.0
21,36.0,2700.0,100.0,46.0,2699.965105819426,58.69489360464253,46.0
21,37.0,2100.0,110.0,31.0,2099.377354942283,67.72185015921004,31.0
21,38.0,4650.0,60.0,70.0,4649.921771029361,66.42745387175312,57.10910154710313
21,39.0,2000.0,130.0,39.0,1999.9996362624279,51.28204195531537,39.0
21,40.0,3400.0,90.0,17.0,3399.5400609890185,199.97294476288363,3.4434315655579795
