Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,27.0,1449.9828558759064,53.703068735945784,27.0
21,1.0,4350.0,70.0,30.0,2118.170785340067,70.60569284443356,29.487496111984466
21,2.0,3000.0,90.0,31.0,1499.9683199347917,48.3860748364501,31.0
21,3.0,2400.0,110.0,8.0,428.4450295180286,53.55562868908413,8.0
21,4.0,4800.0,60.0,32.0,2399.996539781873,74.99989186794915,20.480059054590473
21,5.0,2000.0,130.0,8.0,643.8625715142148,80.48282143827082,8.0
21,6.0,2050.0,120.0,18.0,1024.94778082558,56.94154337888255,18.0
21,7.0,3500.0,80.0,23.0,1749.9308190350434,76.08394865336675,23.0
21,8.0,4600.0,70.0,26.0,2299.9855286543807,88.46098187098211,16.280431711895524
21,9.0,2000.0,130.0,22.0,999.9898442751754,45.454083830483185,22.0
21,10.0,2800.0,100.0,3.0,397.54347322442663,132.51449107039173,1.70841945644157
21,11.0,2350.0,110.0,11.0,441.4051674268612,40.12774249298622,11.0
21,12.0,2050.0,120.0,11.0,591.222318712311,53.74748351881239,11.0
21,13.0,2900.0,90.0,20.0,1449.9922125173464,72.49961062550483,20.0
21,14.0,4750.0,60.0,38.0,2374.980846617728,62.49949596345994,35.02136486313258
21,15.0,3450.0,80.0,17.0,973.2563801266125,57.25037530122868,17.0
21,16.0,2000.0,130.0,14.0,999.9696228534428,71.42640163187859,14.0
21,17.0,3500.0,80.0,28.0,1749.9883362619291,62.49958343770283,28.0
21,18.0,2200.0,110.0,11.0,1099.936080289551,99.99418911632287,11.0
21,19.0,2700.0,100.0,23.0,1349.9674921212275,58.694238787624265,23.0
21,20.0,3100.0,90.0,2.0,286.7109948557468,143.3554974207056,0.7882905323136238
21,21.0,2100.0,120.0,23.0,1049.9976454967648,45.652071543139115,23.0
21,22.0,4850.0,60.0,41.0,2424.9742924030406,59.145714448710386,41.0
21,23.0,4100.0,70.0,29.0,2049.933126330575,70.68734918356918,28.43876199196085
21,24.0,2000.0,120.0,14.0,999.9558440098821,71.4254174287671,14.0
21,25.0,4800.0,60.0,9.0,931.6731594618923,103.51923993906004,3.02345048734705
21,26.0,3050.0,90.0,10.0,821.4230617222498,82.14230617140356,10.0
21,27.0,4250.0,70.0,5.0,407.0997907260755,81.41995814358671,3.695764885558886
21,28.0,2850.0,100.0,22.0,1424.9677502398602,64.77126137424469,22.0
21,29.0,2250.0,110.0,23.0,1124.9715491117245,48.911806482905796,23.0
21,30.0,2000.0,130.0,6.0,293.51542590043005,48.91923764925635,6.0
21,31.0,3900.0,80.0,32.0,1949.9755530794685,60.93673603354296,32.0
21,32.0,2000.0,120.0,22.0,999.9655583760724,45.45297992597851,22.0
21,33.0,3250.0,90.0,30.0,1624.9458436047942,54.16486145331259,30.0
21,34.0,4450.0,70.0,19.0,2224.9662884743952,117.10348886645711,6.789065716555991
21,35.0,3550.0,80.0,24.0,1774.9659147238672,73.95691311318632,24.0
21,36.0,2700.0,100.0,24.0,1349.947604966066,56.24781687335172,24.0
21,37.0,2100.0,110.0,7.0,653.2605327722295,93.32293325184246,7.0
21,38.0,4650.0,60.0,49.0,2324.972978372596,47.44842812995615,49.0
21,39.0,2000.0,130.0,17.0,999.9133014721934,58.81842949801833,17.0
21,40.0,3400.0,90.0,2.0,343.7865866332206,171.89329330801564,0.5482733668060027
21,41.0,2650.0,100.0,13.0,1324.9479827398675,101.91907559459042,12.515044563618442
21,42.0,2300.0,110.0,21.0,1149.9891764284648,54.76138935347566,21.0
21,43.0,4100.0,80.0,10.0,641.341634079191,64.13416340727775,10.0
21,44.0,4800.0,60.0,5.0,1007.2084910413421,201.44169820423957,0.4435818390401966
21,45.0,4450.0,70.0,37.0,2224.9320339702995,60.133298215250974,37.0
21,46.0,2000.0,130.0,15.0,727.2196074833073,48.48130716523061,15.0
21,47.0,2050.0,120.0,22.0,1024.9770663532115,46.589866652206936,22.0
