Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,42.0,2899.348132368075,69.0320983895517,42.0
21,1.0,4350.0,70.0,47.0,4347.717164776666,92.50462052696629,26.913308283019777
21,2.0,3000.0,90.0,47.0,2977.5428950234805,63.35197648972649,47.0
21,3.0,2400.0,110.0,17.0,2374.7696642112533,139.69233318807554,10.541178059440059
21,4.0,4800.0,60.0,48.0,4722.60021606957,98.3875045012444,17.85105333613967
21,5.0,2000.0,130.0,23.0,1977.0765821241018,85.95985139632634,23.0
21,6.0,2050.0,120.0,46.0,2049.8876195404455,44.562774337738894,46.0
21,7.0,3500.0,80.0,67.0,3499.932326328336,52.237795915270326,67.0
21,8.0,4600.0,70.0,61.0,4599.958902644795,75.40916233831564,52.56270196795015
21,9.0,2000.0,130.0,32.0,1999.9217691840765,62.497555286807085,32.0
21,10.0,2800.0,100.0,36.0,2799.966791284785,77.7768553132502,36.0
21,11.0,2350.0,110.0,25.0,2349.948466233614,93.99793864896857,25.0
21,12.0,2050.0,120.0,28.0,2049.979598407647,73.21355708572591,28.0
21,13.0,2900.0,90.0,46.0,2899.905153783542,63.04141638646169,46.0
21,14.0,4750.0,60.0,65.0,4749.984828368353,73.076689667093,43.81856246345021
21,15.0,3450.0,80.0,38.0,3449.948487517463,90.7881180923259,29.505674211755558
21,16.0,2000.0,130.0,27.0,1999.9956741325389,74.07391385648636,27.0
21,17.0,3500.0,80.0,26.0,3499.9642179721413,134.61400838302617,9.182751022947873
21,18.0,2200.0,110.0,38.0,2199.976516852232,57.89411886438007,38.0
21,19.0,2700.0,100.0,23.0,2699.9577206962335,117.38946611671716,16.69050899201016
21,20.0,3100.0,90.0,29.0,3099.9747333410437,106.89568045966739,20.557140513160405
21,21.0,2100.0,120.0,39.0,2099.961223084893,53.84515956614124,39.0
21,22.0,4850.0,60.0,73.0,4849.969244352525,66.43793485405315,59.537845120866024
21,23.0,4100.0,70.0,46.0,4099.930716115636,89.12892861101571,28.373737047892824
21,24.0,2000.0,120.0,29.0,1999.9598560959832,68.96413296858921,29.0
21,25.0,4800.0,60.0,46.0,4799.999456075655,104.34781426228739,15.208753446874809
21,26.0,3050.0,90.0,28.0,3049.987526240987,108.92812593678909,19.11450195313998
21,27.0,4250.0,70.0,43.0,4249.967767690232,98.83645971349647,21.56900812953369
21,28.0,2850.0,100.0,30.0,2849.9600101611813,94.99866700505605,30.0
21,29.0,2250.0,110.0,38.0,2249.9929107468015,59.21033975633895,38.0
21,30.0,2000.0,130.0,20.0,1999.9712618175881,99.99856309037942,20.0
21,31.0,3900.0,80.0,51.0,3899.9949018878433,76.47048827216071,51.0
21,32.0,2000.0,120.0,22.0,1999.9652179398943,90.90750990594562,22.0
21,33.0,3250.0,90.0,56.0,3249.9550359970776,58.03491135698704,56.0
21,34.0,4450.0,70.0,54.0,4449.979730069475,82.40703203817101,38.96379897220601
21,35.0,3550.0,80.0,33.0,3549.941428459955,107.57398268027872,18.25069546795256
21,36.0,2700.0,100.0,33.0,2699.9563844224144,81.81686013376462,33.0
21,37.0,2100.0,110.0,29.0,2099.952322810843,72.41214906219317,29.0
21,38.0,4650.0,60.0,73.0,4649.999203966673,63.698619232332916,64.76872144707431
21,39.0,2000.0,130.0,32.0,1999.9614387007593,62.498794959203416,32.0
21,40.0,3400.0,90.0,32.0,3399.9922891909405,106.24975903688485,22.96038095959914
21,41.0,2650.0,100.0,43.0,2649.979146563182,61.627422012953936,43.0
21,42.0,2300.0,110.0,33.0,2299.988170151289,69.69661121649452,33.0
21,43.0,4100.0,80.0,44.0,4099.983953023868,93.1814534776034,32.43199688065981
21,44.0,4800.0,60.0,34.0,4799.9458484505685,141.17487789518972,6.141388568290219
21,45.0,4450.0,70.0,39.0,4449.967807871706,114.1017386630845,14.678313620429282
21,46.0,2000.0,130.0,23.0,1999.9894524981794,86.95606315171669,23.0
21,47.0,2050.0,120.0,23.0,2049.962847055801,89.12881943682123,23.0
